,popularity,budget,revenue,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
18,5.556818,95000000,542351353,112,"['Romance', 'Fantasy', 'Family', 'Drama']",1495,6.8,2015,87399961.5440169,498963025.216268
19,5.476958,160000000,650523427,136,"['War', 'Adventure', 'Science Fiction']",2380,6.5,2015,147199935.232028,598481289.508232
20,5.462138,190000000,209035668,130,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']",1899,6.2,2015,174799923.088033,192312729.942398
21,5.337064,30000000,91709827,123,"['Action', 'Drama']",1386,7.3,2015,27599987.8560053,84373003.7158783
22,4.907832,110000000,470490832,114,"['Action', 'Drama', 'Thriller']",2060,6.1,2015,101199955.472019,432851374.985395
23,4.71040199999999,40000000,569651467,125,"['Drama', 'Romance']",1865,5.3,2015,36799983.8080071,524079119.045187
24,4.648046,28000000,133346506,130,"['Comedy', 'Drama']",1545,7.3,2015,25759988.6656049,122678731.541358
25,4.566713,150000000,682330139,131,['Action'],2349,7.1,2015,137999939.280026,627743451.672881
26,4.564549,68000000,215863606,115,['Comedy'],1666,6.3,2015,62559972.4736121,198594430.13845
27,4.503789,81000000,403802136,130,"['Crime', 'Comedy', 'Action', 'Adventure']",3833,7.6,2015,74519967.2112144,371497801.660967
28,4.062293,20000000,88346473,128,"['Drama', 'Thriller', 'History']",1559,7.8,2015,18399991.9040035,81278719.3973634
29,3.968891,61000000,311256926,132,"['Action', 'Science Fiction', 'Thriller']",1849,6.4,2015,56119975.3072108,286356245.923251
31,3.899557,49000000,102069268,120,"['Crime', 'Action', 'Science Fiction']",1990,6.6,2015,45079980.1648087,93903685.2423785
32,3.877764,29000000,287506194,115,"['Comedy', 'Music']",1264,6.8,2015,26679988.2608051,264505582.097543
33,3.64821,40000000,162610473,141,"['Thriller', 'Drama']",1638,7.1,2015,36799983.8080071,149601569.335309
34,3.644541,58000000,150170815,103,"['Adventure', 'Horror', 'Comedy']",600,6.2,2015,53359976.5216103,138157089.01088
35,3.557846,6000000,35401758,117,"['Drama', 'Thriller']",1520,8.0,2015,5519997.57120106,32569603.0293746
37,3.339135,175000000,331926147,93,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1087,6.6,2015,160999929.160031,305371920.876354
38,3.23737,50000000,71561644,114,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",814,6.3,2015,45999979.7600089,65836683.5118592
39,3.227329,11000000,62076141,111,"['Drama', 'Romance']",754,7.3,2015,10119995.5472019,57110024.5915891
40,3.202719,28000000,201634991,147,"['Drama', 'Music']",918,7.7,2015,25759988.6656049,185504110.098191
41,3.080505,90000000,140396650,106,"['Fantasy', 'Action', 'Adventure']",879,5.6,2015,82799963.568016,129164861.167461
42,3.079522,30000000,34441873,122,"['History', 'Drama']",1035,6.9,2015,27599987.8560053,31686509.2179359
43,3.053421,75000000,108145109,116,"['Comedy', 'Action', 'Adventure']",1548,7.0,2015,68999969.6400133,99493456.5028791
44,3.025852,25000000,42629776,112,"['Fantasy', 'Drama', 'Romance']",1221,7.3,2015,22999989.8800044,39219376.6634742
45,3.023253,10000000,14333790,97,"['Action', 'Adventure', 'Science Fiction']",396,5.9,2015,9199995.95200178,13187080.9976843
46,2.976436,135000000,368871007,94,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",1060,6.9,2015,124199945.352024,339361177.121082
47,2.968254,12000000,85512300,109,"['Drama', 'Mystery', 'Romance']",1252,6.2,2015,11039995.1424021,78671281.3846362
49,2.885126,4000000,9064511,118,"['Thriller', 'Comedy', 'Drama', 'Romance', 'Science Fiction']",638,6.6,2015,3679998.38080071,8339346.45068756
50,2.883233,11800000,40272135,118,"['Romance', 'Drama']",562,7.1,2015,10855995.2233621,37050347.8978469
51,2.814802,35000000,194564672,121,['Comedy'],1255,7.1,2015,32199985.8320062,178999419.480255
52,2.798017,55000000,203427584,121,"['Adventure', 'Drama']",1172,6.7,2015,50599977.7360098,187153294.93255
53,2.793297,60000000,101134059,124,"['Comedy', 'Drama']",1001,6.4,2015,55199975.7120106,93043293.3409509
54,2.614499,105000000,133718711,114,"['Action', 'Crime', 'Thriller']",505,5.5,2015,96599957.4960187,123021159.990689
55,2.584264,20000000,36606743,100,['Drama'],631,6.3,2015,18399991.9040035,33678188.7415969
56,2.578919,26000000,30523226,116,"['Science Fiction', 'Mystery', 'Thriller']",719,6.2,2015,23919989.4752046,28081355.5642035
57,2.575711,60000000,30418560,106,"['Comedy', 'Adventure']",696,5.3,2015,55199975.7120106,27985062.8865723
58,2.557859,15000000,64191523,120,['Drama'],867,7.3,2015,13799993.9280026,59056175.1752829
59,2.550747,70000000,17752940,133,"['Mystery', 'Crime', 'Action', 'Thriller', 'Drama']",584,5.0,2015,64399971.6640124,16332697.613613
60,2.487849,30000000,84025816,121,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",1479,7.1,2015,27599987.8560053,77303716.7063646
61,2.487042,120000001,167977596,100,"['Action', 'Adventure', 'Science Fiction']",1565,4.4,2015,110399952.34402,154539320.322699
62,2.46449,3500000,40423945,92,"['Mystery', 'Horror']",700,5.8,2015,3219998.58320062,37190013.0363942
63,2.404473,65000000,235666219,120,"['Action', 'Comedy', 'Crime']",1840,6.9,2015,59799973.6880115,216812826.082356
64,2.395366,50100000,153962963,105,"['Romance', 'Comedy', 'Crime', 'Drama']",1831,6.7,2015,46091979.7195289,141645863.63582
65,2.354654,35000000,82347656,96,"['Action', 'Crime', 'Thriller']",820,5.5,2015,32199985.8320062,75759810.1856835
66,2.345821,100000000,93820758,122,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",805,6.4,2015,91999959.5200178,86315059.3813738
68,2.331567,35000000,137935567,133,['Drama'],1171,7.3,2015,32199985.8320062,126900665.803707
69,2.31767,35000000,140795793,125,['Comedy'],849,6.1,2015,32199985.8320062,129532072.565888
70,2.29573,13000000,32848185,102,"['Drama', 'Thriller', 'War']",265,7.2,2015,11959994.7376023,30220316.9030605
71,2.28135,25000000,42972994,131,"['Crime', 'Thriller']",619,6.7,2015,22999989.8800044,39535137.0845396
73,2.234573,150000000,128388320,111,"['Adventure', 'Family', 'Fantasy']",586,5.9,2015,137999939.280026,118117202.42843
76,2.140199,99000000,246233113,88,"['Adventure', 'Animation', 'Comedy', 'Family']",414,6.4,2015,91079959.9248176,226534364.284879
77,2.121884,35000000,48623572,123,['Drama'],500,6.9,2015,32199985.8320062,44733666.5571867
78,2.096273,25000000,52395996,100,['Comedy'],363,6.1,2015,22999989.8800044,48204295.1101101
79,2.080935,2500000,5214043,99,"['Drama', 'Horror', 'Thriller']",473,4.8,2015,2299998.98800044,4796917.44935632
80,2.070708,34000000,63013281,128,"['Romance', 'Drama']",711,7.3,2015,31279986.236806,57972193.012235
81,2.060162,80000000,466183544,89,"['Animation', 'Comedy', 'Family']",919,6.8,2015,73599967.6160142,428888671.768984
82,2.055572,17000000,24000000,107,"['Family', 'Comedy']",111,5.3,2015,15639993.118403,22079990.2848042
83,2.049886,35000000,61181942,123,"['Adventure', 'Drama', 'Thriller']",706,6.8,2015,32199985.8320062,56287361.8735607
84,2.026651,11000000,1863315,94,"['Action', 'Crime', 'Drama']",326,5.9,2015,10119995.5472019,1714249.04573042
85,2.000338,31000000,104384188,99,"['Adventure', 'Comedy']",846,6.1,2015,28519987.4512055,96033410.7052992
86,1.984529,35000000,95437994,93,"['Horror', 'Thriller']",589,5.0,2015,32199985.8320062,87802915.846717
87,1.980039,4000000,187112,95,['Horror'],384,5.1,2015,3679998.38080071,172142.964257095
89,1.95632,50000000,3324330,137,"['Crime', 'Thriller']",341,5.9,2015,45999979.7600089,3058382.2543118
90,1.926739,5000000,58978653,108,"['Thriller', 'Mystery']",631,6.6,2015,4599997.97600089,54260336.8854517
91,1.904898,50000000,240360392,96,['Comedy'],568,5.7,2015,45999979.7600089,221131463.342156
94,1.865007,64000000,97571250,92,"['Adventure', 'Animation', 'Fantasy']",423,7.5,2015,58879974.0928114,89765510.5031753
96,1.82313,11930000,18340000,118,['Drama'],197,6.9,2015,10975595.1707381,16872792.5759712
97,1.758618,8500000,43528634,100,"['Romance', 'Comedy']",753,6.8,2015,7819996.55920151,40046325.6596167
98,1.742286,10000000,52882018,97,['Horror'],331,5.5,2015,9199995.95200178,48651435.1533685
99,1.73518,30000000,107597242,94,"['Action', 'Adventure', 'Comedy', 'Family']",422,5.3,2015,27599987.8560053,98989419.0846556
102,1.65107799999999,4000000,50163103,91,['Thriller'],810,3.9,2015,3679998.38080071,46150034.4539848
104,1.532997,30000000,49263404,104,['Comedy'],364,6.2,2015,27599987.8560053,45322311.7381828
105,1.510096,23000000,79799880,101,['Comedy'],446,6.5,2015,21159990.689604,73415857.2970227
106,1.499614,15000000,14860766,93,"['Comedy', 'Horror']",288,6.2,2015,13799993.9280026,13671898.7043645
107,1.495112,5000000,98450062,94,"['Horror', 'Thriller']",729,5.9,2015,4599997.97600089,90574017.1874324
108,1.48324599999999,53000000,99775678,122,"['Crime', 'Drama']",848,6.3,2015,48759978.5456094,91793583.3708233
109,1.449072,8900000,50136,93,"['Crime', 'Action', 'Thriller']",233,5.4,2015,8187996.39728158,46125.0997049561
110,1.448002,15000000,61548707,98,"['Horror', 'Comedy', 'Fantasy']",342,5.9,2015,13799993.9280026,56624785.5250943
111,1.443406,20000000,208588,113,"['Drama', 'Mystery', 'Thriller']",322,5.7,2015,18399991.9040035,191900.875563614
112,1.41239,5000000,54418872,103,"['Action', 'Thriller']",519,6.7,2015,4599997.97600089,50065340.2112503
113,1.40805,700000,17986781,103,"['Crime', 'Drama', 'Comedy']",448,7.3,2015,643999.716640124,16547831.2389542
114,1.388251,28000000,28208085,96,"['Comedy', 'Action']",695,5.9,2015,25759988.6656049,25951426.7813722
115,1.388032,11000000,61619773,120,['Drama'],277,7.3,2015,10119995.5472019,56690166.2163268
117,1.376605,30000000,105011053,118,['Comedy'],399,5.9,2015,27599987.8560053,96610126.2515444
118,1.360926,12000000,32248241,106,"['Science Fiction', 'Thriller']",637,6.3,2015,11039995.1424021,29668368.6659177
120,1.355822,25000000,72629670,96,"['Thriller', 'Action', 'Crime']",407,5.3,2015,22999989.8800044,66819266.9995225
121,1.345982,55000000,74679822,119,"['Mystery', 'Thriller', 'Fantasy', 'Horror', 'Drama']",819,6.4,2015,50599977.7360098,68705406.0096213
123,1.338481,14800000,122413057,115,"['Comedy', 'Drama', 'Music']",501,6.3,2015,13615994.0089626,112619962.887216
124,1.338322,10000000,78099553,88,"['Horror', 'Thriller']",267,5.0,2015,9199995.95200178,71851557.1453148
126,1.316239,15000000,8235661,124,['Drama'],273,7.2,2015,13799993.9280026,7576804.78620589
127,1.315266,19500000,32189727,111,"['Crime', 'Drama', 'Mystery']",202,6.2,2015,17939992.1064034,29614535.8096042
129,1.291013,74000000,311594032,93,"['Family', 'Animation']",533,5.7,2015,68079970.0448131,286666383.306791
131,1.278928,20000000,43967255,111,"['Adventure', 'Drama', 'Family']",214,7.0,2015,18399991.9040035,40449856.802063
135,1.225325,40000000,10664749,115,"['Action', 'Drama', 'Crime']",283,5.6,2015,36799983.8080071,9811564.7629115
136,1.191138,1000000,62882090,82,"['Horror', 'Thriller']",643,5.6,2015,919999.595200178,57851497.3453411
137,1.178831,35000000,51680201,87,"['Action', 'Crime', 'Comedy']",472,5.5,2015,32199985.8320062,47545763.9998638
138,1.164724,10000000,104303851,97,"['Drama', 'Horror', 'Thriller']",610,6.3,2015,9199995.95200178,95959500.6978197
141,1.142518,6000000,41387687,104,"['Comedy', 'Drama']",135,5.9,2015,5519997.57120106,38076655.2862716
142,1.138395,40000000,34227298,109,"['Drama', 'Science Fiction', 'Thriller']",408,5.5,2015,36799983.8080071,31489100.3047958
144,1.125239,8000000,3759286,90,"['Animation', 'Comedy', 'Drama', 'Romance']",259,6.7,2015,7359996.76160142,3458541.59824169
150,1.03839,2000000,1477002,102,"['Drama', 'Romance']",186,6.8,2015,1839999.19040035,1358841.24210985
155,1.007054,11000000,27391084,95,"['Mystery', 'Drama']",319,6.1,2015,10119995.5472019,25199786.192094
157,0.956096,18000000,41325328,100,"['Comedy', 'Drama', 'Music']",152,5.5,2015,16559992.7136032,38019285.0315145
160,0.950793,12000000,60273173,100,"['Drama', 'Thriller']",122,5.6,2015,11039995.1424021,55451294.7614303
162,0.93762,10000000,7587485,97,"['Drama', 'Comedy']",265,5.9,2015,9199995.95200178,6980483.12858742
163,0.927339,40000000,106511453,100,['Comedy'],661,5.9,2015,36799983.8080071,97990493.6441828
167,0.906036,25000000,24902723,120,"['History', 'Drama']",262,5.8,2015,22999989.8800044,22910495.0793821
168,0.898295999999999,14000000,16002420,106,"['Drama', 'History']",231,7.1,2015,12879994.3328024,14722219.9222232
170,0.880937999999999,6000000,11122090,96,"['Drama', 'Music', 'Romance']",412,6.2,2015,5519997.57120106,10232318.2977799
179,0.832487,10000000,85978266,122,"['Drama', 'Comedy']",196,6.4,2015,9199995.95200178,79099969.9160132
180,0.829111,20000000,6420319,106,"['Comedy', 'Drama', 'War']",113,7.1,2015,18399991.9040035,5906690.88105601
183,0.814206,37000000,26250020,105,"['Adventure', 'Comedy', 'Romance']",469,5.2,2015,34039985.0224065,24150007.7739965
186,0.795762,28000000,7002261,108,"['Drama', 'Comedy']",122,5.7,2015,25759988.6656049,6442077.28548599
200,0.706023,7000000,573335,103,"['Romance', 'Drama']",86,7.1,2015,6439997.16640124,527467.967914094
202,0.699932,3000000,695269,134,"['Drama', 'Romance']",307,4.7,2015,2759998.78560053,639647.198555232
203,0.69957,9600000,2541554,121,['Drama'],89,6.4,2015,8831996.11392171,2338228.65117939
205,0.690479,10000000,10835752,107,"['Comedy', 'Drama', 'Music']",114,6.6,2015,9199995.95200178,9968887.45368952
206,0.689578999999999,15000000,3020664,100,"['Comedy', 'Music', 'War']",56,5.1,2015,13799993.9280026,2779009.65723575
208,0.673792,1000000,14444999,95,"['Comedy', 'Drama', 'Romance']",87,6.6,2015,919999.595200178,13289393.2326669
209,0.669351,13000000,1784763,91,"['Thriller', 'Horror']",164,4.5,2015,11959994.7376023,1641981.23752825
210,0.661471,8000000,1411927,112,['Drama'],121,6.8,2015,7359996.76160142,1298972.2684522
211,0.661163,14000000,12314651,93,['Comedy'],244,5.0,2015,12879994.3328024,11329473.9350314
213,0.654046,4000000,143101,97,['Drama'],35,5.0,2015,3679998.38080071,131652.86207274
223,0.602165,8000000,35991087,104,"['Drama', 'Adventure', 'Comedy']",171,5.4,2015,7359996.76160142,33111785.4708143
225,0.599655,3300000,64110728,83,"['Thriller', 'Horror']",327,4.9,2015,3035998.66416058,58981843.8079887
229,0.577814,35000000,14431253,90,['Comedy'],241,4.9,2015,32199985.8320062,13276746.9182313
230,0.570743999999999,2000000,45431,95,"['Fantasy', 'Thriller']",129,5.7,2015,1839999.19040035,41796.5016095392
242,0.532205,100000,42664410,87,"['Horror', 'Thriller']",247,5.0,2015,91999.9595200178,39251239.9294544
246,0.524315,10000000,3334927,122,"['Drama', 'Romance']",82,5.4,2015,9199995.95200178,3068131.49002214
270,0.46209,9000000,21571189,121,['Drama'],72,6.7,2015,8279996.3568016,19845485.1479865
274,0.450872,13000000,1646788,123,"['Drama', 'Music']",19,5.6,2015,11959994.7376023,1515044.29338051
287,0.435582,5000000,2333684,119,"['Drama', 'Music', 'Adventure', 'Fantasy']",69,5.7,2015,4599997.97600089,2146988.33532513
291,0.424813,6000000,90777,137,"['Drama', 'War']",306,7.5,2015,5519997.57120106,83514.8032534865
297,0.414913,3000000,3387000,83,"['Thriller', 'Horror']",91,5.0,2015,2759998.78560053,3116038.628943
304,0.402236,447524,771317,101,"['Drama', 'Comedy']",47,4.2,2015,411721.898842364,709611.327771015
331,0.365901,10000000,17472,111,"['Drama', 'Thriller']",48,5.0,2015,9199995.95200178,16074.2329273375
350,0.336107,2000000,2801508,97,"['Crime', 'Drama', 'Thriller']",55,5.7,2015,1839999.19040035,2577386.22595006
380,0.298751,5000000,4842699,121,['Drama'],24,5.7,2015,4599997.97600089,4455281.1196763
409,0.259794,600000,7087452,78,"['Drama', 'Comedy']",81,5.6,2015,551999.757120106,6520452.97100069
492,0.731022,3000000,67790117,120,['Drama'],57,6.9,2015,2759998.78560053,62366880.1985727
583,0.076109,13500000,187674,129,['Drama'],14,5.6,2015,12419994.5352024,172660.004029598
629,24.949134,165000000,621752480,169,"['Adventure', 'Drama', 'Science Fiction']",6498,8.0,2014,151980023.37729,572690645.122961
630,14.311205,170000000,773312399,121,"['Action', 'Science Fiction', 'Adventure']",5612,7.9,2014,156585478.631148,712291130.169508
631,12.971027,170000000,714766572,136,"['Action', 'Adventure', 'Science Fiction']",3848,7.6,2014,156585478.631148,658365092.859794
632,11.422751,20000000,78739897,101,"['Action', 'Thriller']",2712,7.0,2014,18421821.0154291,72526614.4653665
633,10.739009,125000000,752100229,123,"['Science Fiction', 'Adventure', 'Thriller']",3590,6.6,2014,115136381.346432,692752790.215065
634,10.174599,250000000,955119788,144,"['Adventure', 'Fantasy']",3110,7.1,2014,230272762.692864,879752289.141534
635,8.691294,165000000,652105443,102,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",4185,7.8,2014,151980023.37729,600648487.706658
636,8.110711,14000000,233555708,113,"['History', 'Drama', 'Thriller', 'War']",3478,8.0,2014,12895274.7108004,215126072.495392
637,7.137273,34000000,348319861,113,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",3425,7.0,2014,31317095.7262296,320834306.773058
638,6.90714799999999,18000000,103215094,119,"['Drama', 'Comedy']",2801,7.3,2014,16579638.9138862,95070499.387935
639,6.438727,61000000,369330363,145,"['Mystery', 'Thriller', 'Drama']",3720,7.9,2014,56186554.097059,340186892.137474
640,6.415818,68000000,211817906,135,"['War', 'Drama', 'Action']",2572,7.4,2014,62634191.4524592,195103577.60975
641,6.286692,127000000,349424282,97,"['Adventure', 'Comedy', 'Fantasy', 'Family']",1111,6.1,2014,116978563.447975,321851579.072442
642,6.14502,85000000,288747895,139,"['Action', 'Science Fiction', 'Thriller']",3038,6.9,2014,78292739.315574,265963102.013597
643,6.052479,250000000,746000000,131,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",4006,7.6,2014,230272762.692864,687133923.875509
644,5.947136,40000000,463360063,89,"['Action', 'Science Fiction']",3699,6.3,2014,36843642.0308583,426796807.314199
645,5.787396,125000000,477200000,101,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",1836,5.8,2014,115136381.346432,439544649.42814
646,5.701683,40000000,126069509,97,['Comedy'],1150,5.3,2014,36843642.0308583,116121496.515052
647,5.522641,8500000,38697217,117,"['Crime', 'Drama', 'Thriller']",2087,7.6,2014,7829273.9315574,35643660.2684612
648,4.983782,210000000,245500000,165,"['Science Fiction', 'Action', 'Adventure']",2161,5.9,2014,193429120.662006,226127852.964393
649,4.93082,30000000,174600318,99,"['Comedy', 'Drama']",2802,7.9,2014,27632731.5231437,160822790.371651
650,4.780419,3300000,13993093,105,"['Drama', 'Music']",2372,8.2,2014,3039600.46754581,12888912.7349127
651,4.452507,170000000,708200000,130,"['Science Fiction', 'Action', 'Drama', 'Thriller']",2625,7.4,2014,156585478.631148,652316682.156347
652,4.145209,55000000,192330738,132,"['Thriller', 'Action', 'Crime']",2100,7.2,2014,50660007.7924302,177154121.56007
653,4.105685,42000000,106645357,108,['Comedy'],1033,6.1,2014,38685824.1324013,98230083.9390274
654,4.101979,200000000,705717432,142,"['Action', 'Adventure', 'Fantasy']",2813,6.6,2014,184218210.154291,650030010.988616
655,3.990452,178000000,370541256,113,"['Action', 'Science Fiction']",3267,7.7,2014,163954207.037319,341302234.843216
656,3.989231,44000000,11305175,112,"['Action', 'Comedy']",1657,6.1,2014,40528006.2339442,10413095.5199052
657,3.863074,58800000,542307423,134,"['War', 'Action']",3004,7.5,2014,54160153.7853618,499514514.092232
658,3.81374,140000000,268031828,153,"['Adventure', 'Drama', 'Action']",1377,5.6,2014,128952747.108004,246881718.092715
659,3.689601,160000000,529076069,123,"['Action', 'Science Fiction', 'Thriller']",2169,6.2,2014,147374568.123433,487327232.333243
660,3.582315,180000000,758410378,97,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",2928,7.0,2014,165796389.138862,698565011.988
661,3.573028,15000000,32556119,108,"['Crime', 'Action', 'Thriller']",481,6.0,2014,13816365.7615718,29987149.8587506
662,3.489314,5000000,102529779,89,['Horror'],569,4.9,2014,4605455.25385729,94439261.8744755
663,3.489106,145000000,609123048,102,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy']",2152,7.7,2014,133558202.361861,561057788.331434
664,3.393741,2000000,13500000,100,"['Thriller', 'Horror']",1003,6.6,2014,1842182.10154291,12434729.1854147
665,3.34625,90000000,206172544,127,"['Action', 'Adventure', 'Thriller']",1275,6.2,2014,82898194.5694313,189903685.193185
666,3.327799,60000000,469160692,100,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Action']",2268,7.5,2014,55265463.0462875,432139714.774945
668,3.260581,95000000,114178613,102,"['Adventure', 'Fantasy']",675,5.1,2014,87503649.8232886,105168898.623797
669,3.170271,15000000,121201940,123,"['Drama', 'Romance']",1960,7.8,2014,13816365.7615718,111638022.270139
670,3.14993,17000000,136621271,104,['Comedy'],912,6.4,2014,15658547.8631148,125840630.063122
671,3.028769,70000000,215529201,92,"['Horror', 'Action', 'Drama', 'Fantasy', 'War']",1666,6.1,2014,64476373.5540021,198522018.221023
672,3.007018,132000000,373552094,92,"['Family', 'Animation', 'Adventure', 'Comedy']",939,6.5,2014,121584018.701832,344075490.780339
673,2.996038,50000000,212902372,125,"['Fantasy', 'Comedy', 'Music']",1095,5.6,2014,46054552.5385729,196102469.537216
674,2.979181,110000000,337580051,102,"['Action', 'War']",1664,6.1,2014,101320015.58486,310941963.895073
675,2.881991,25000000,66980456,94,"['Drama', 'Science Fiction']",1151,6.3,2014,23027276.2692864,61695098.5981915
676,2.805019,50000000,188441614,112,"['Crime', 'Comedy', 'Action']",2416,7.0,2014,46054552.5385729,173571884.248329
677,2.777996,28000000,53181600,113,"['Crime', 'Drama', 'Mystery', 'Thriller']",823,6.2,2014,25790549.4216008,48985095.8257074
678,2.721864,55000000,259207227,95,['Comedy'],606,7.1,2014,50660007.7924302,238753457.084986
679,2.692691,7000000,2360281,102,['Drama'],255,6.1,2014,6447637.35540021,2174033.70640591
680,2.67235,11000000,45967935,115,['Comedy'],866,7.2,2014,10132001.558486,42340653.5509441
681,2.611251,9000000,108782847,104,"['Horror', 'Thriller']",1126,6.6,2014,8289819.45694313,100198906.84914
682,2.601775,16000000,19682924,110,"['Thriller', 'Action', 'Science Fiction']",253,3.8,2014,14737456.8123433,18129765.1494147
683,2.595951,4000000,44349000,164,['Drama'],1343,7.6,2014,3684364.20308583,40849467.0106634
684,2.576396,20000000,12007070,125,"['Action', 'Thriller', 'Crime', 'Drama']",384,6.4,2014,18421821.0154291,11059604.7229864
685,2.549403,100000000,243400000,99,"['Action', 'Adventure']",1215,5.6,2014,92109105.0771459,224193561.757773
686,2.526779,125000000,362637473,139,"['Drama', 'Adventure']",1589,5.5,2014,115136381.346432,334022131.054676
687,2.523101,50000000,83719388,141,['Drama'],974,7.2,2014,46054552.5385729,77113179.0628635
689,2.445165,40000000,123494610,117,['Comedy'],720,6.7,2014,36843642.0308583,113749780.089511
690,2.376309,18000000,268157400,96,['Comedy'],1829,6.2,2014,16579638.9138862,246997381.338142
691,2.361267,11000000,78874843,106,['Drama'],856,7.2,2014,10132001.558486,72650912.0183039
692,2.303556,45000000,86165646,112,"['Romance', 'Drama', 'Music']",421,6.7,2014,41449097.2847156,79366405.4145416
694,2.293859,12000000,305151265,125,"['Romance', 'Drama']",2389,7.8,2014,11053092.6092575,281072099.32309
696,2.165462,25000000,153997819,99,"['Action', 'Comedy']",634,6.1,2014,23027276.2692864,141846012.919223
698,2.160156,20000000,11110975,148,"['Comedy', 'Romance', 'Crime', 'Drama', 'Mystery']",552,6.3,2014,18421821.0154291,10234219.6378454
699,2.141491,60000000,50549107,105,"['Action', 'Drama', 'Thriller']",873,5.9,2014,55265463.0462875,46560330.0821889
700,2.136758,50000000,222809600,106,"['Action', 'Thriller', 'Mystery']",1648,6.8,2014,46054552.5385729,205227928.585968
701,2.116264,5500000,3000000,97,"['Science Fiction', 'Thriller']",1136,7.2,2014,5066000.77924302,2763273.15231437
704,1.957672,12600000,18658381,106,"['Drama', 'Crime']",583,6.6,2014,11605747.2397203,17186067.7609842
705,1.940735,120000000,239379423,102,"['Science Fiction', 'Action']",1709,5.7,2014,110530926.092575,220490244.264135
706,1.904422,100000000,103039258,119,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']",1555,5.9,2014,92109105.0771459,94908538.4219315
707,1.900038,40000000,196781193,109,"['Comedy', 'Romance']",1056,6.2,2014,36843642.0308583,181253395.832431
708,1.894706,145000000,272912430,92,"['Animation', 'Adventure', 'Family']",592,6.8,2014,133558202.361861,251377196.917292
710,1.840817,65000000,39407616,102,"['Crime', 'Thriller']",857,6.2,2014,59870918.3001448,36298002.4298381
712,1.811692,103000000,500188435,102,"['Animation', 'Adventure', 'Comedy', 'Family']",659,6.5,2014,94872378.2294603,460719091.177882
