popularity,budget,revenue,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
5.573184,130000000,518602163,115,Action,3779,7.0,2015,119599947.376023,477113780.029936
5.573184,130000000,518602163,115,Adventure,3779,7.0,2015,119599947.376023,477113780.029936
5.556818,95000000,542351353,112,Romance,1495,6.8,2015,87399961.5440169,498963025.216268
5.556818,95000000,542351353,112,Fantasy,1495,6.8,2015,87399961.5440169,498963025.216268
5.556818,95000000,542351353,112,Family,1495,6.8,2015,87399961.5440169,498963025.216268
5.556818,95000000,542351353,112,Drama,1495,6.8,2015,87399961.5440169,498963025.216268
5.476958,160000000,650523427,136,War,2380,6.5,2015,147199935.232028,598481289.508232
5.476958,160000000,650523427,136,Adventure,2380,6.5,2015,147199935.232028,598481289.508232
5.476958,160000000,650523427,136,Science Fiction,2380,6.5,2015,147199935.232028,598481289.508232
5.462138,190000000,209035668,130,Action,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,190000000,209035668,130,Family,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,190000000,209035668,130,Science Fiction,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,190000000,209035668,130,Adventure,1899,6.2,2015,174799923.088033,192312729.942398
5.462138,190000000,209035668,130,Mystery,1899,6.2,2015,174799923.088033,192312729.942398
5.337064,30000000,91709827,123,Action,1386,7.3,2015,27599987.8560053,84373003.7158783
5.337064,30000000,91709827,123,Drama,1386,7.3,2015,27599987.8560053,84373003.7158783
4.907832,110000000,470490832,114,Action,2060,6.1,2015,101199955.472019,432851374.985395
4.907832,110000000,470490832,114,Drama,2060,6.1,2015,101199955.472019,432851374.985395
4.907832,110000000,470490832,114,Thriller,2060,6.1,2015,101199955.472019,432851374.985395
4.71040199999999,40000000,569651467,125,Drama,1865,5.3,2015,36799983.8080071,524079119.045187
4.71040199999999,40000000,569651467,125,Romance,1865,5.3,2015,36799983.8080071,524079119.045187
4.648046,28000000,133346506,130,Comedy,1545,7.3,2015,25759988.6656049,122678731.541358
4.648046,28000000,133346506,130,Drama,1545,7.3,2015,25759988.6656049,122678731.541358
4.566713,150000000,682330139,131,Action,2349,7.1,2015,137999939.280026,627743451.672881
4.564549,68000000,215863606,115,Comedy,1666,6.3,2015,62559972.4736121,198594430.13845
4.503789,81000000,403802136,130,Crime,3833,7.6,2015,74519967.2112144,371497801.660967
4.503789,81000000,403802136,130,Comedy,3833,7.6,2015,74519967.2112144,371497801.660967
4.503789,81000000,403802136,130,Action,3833,7.6,2015,74519967.2112144,371497801.660967
4.503789,81000000,403802136,130,Adventure,3833,7.6,2015,74519967.2112144,371497801.660967
4.062293,20000000,88346473,128,Drama,1559,7.8,2015,18399991.9040035,81278719.3973634
4.062293,20000000,88346473,128,Thriller,1559,7.8,2015,18399991.9040035,81278719.3973634
4.062293,20000000,88346473,128,History,1559,7.8,2015,18399991.9040035,81278719.3973634
3.968891,61000000,311256926,132,Action,1849,6.4,2015,56119975.3072108,286356245.923251
3.968891,61000000,311256926,132,Science Fiction,1849,6.4,2015,56119975.3072108,286356245.923251
3.968891,61000000,311256926,132,Thriller,1849,6.4,2015,56119975.3072108,286356245.923251
3.899557,49000000,102069268,120,Crime,1990,6.6,2015,45079980.1648087,93903685.2423785
3.899557,49000000,102069268,120,Action,1990,6.6,2015,45079980.1648087,93903685.2423785
3.899557,49000000,102069268,120,Science Fiction,1990,6.6,2015,45079980.1648087,93903685.2423785
3.877764,29000000,287506194,115,Comedy,1264,6.8,2015,26679988.2608051,264505582.097543
3.877764,29000000,287506194,115,Music,1264,6.8,2015,26679988.2608051,264505582.097543
3.64821,40000000,162610473,141,Thriller,1638,7.1,2015,36799983.8080071,149601569.335309
3.64821,40000000,162610473,141,Drama,1638,7.1,2015,36799983.8080071,149601569.335309
3.644541,58000000,150170815,103,Adventure,600,6.2,2015,53359976.5216103,138157089.01088
3.644541,58000000,150170815,103,Horror,600,6.2,2015,53359976.5216103,138157089.01088
3.644541,58000000,150170815,103,Comedy,600,6.2,2015,53359976.5216103,138157089.01088
3.557846,6000000,35401758,117,Drama,1520,8.0,2015,5519997.57120106,32569603.0293746
3.557846,6000000,35401758,117,Thriller,1520,8.0,2015,5519997.57120106,32569603.0293746
3.339135,175000000,331926147,93,Adventure,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,175000000,331926147,93,Animation,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,175000000,331926147,93,Comedy,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,175000000,331926147,93,Family,1087,6.6,2015,160999929.160031,305371920.876354
3.339135,175000000,331926147,93,Fantasy,1087,6.6,2015,160999929.160031,305371920.876354
3.23737,50000000,71561644,114,Action,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,50000000,71561644,114,Crime,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,50000000,71561644,114,Drama,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,50000000,71561644,114,Mystery,814,6.3,2015,45999979.7600089,65836683.5118592
3.23737,50000000,71561644,114,Thriller,814,6.3,2015,45999979.7600089,65836683.5118592
3.227329,11000000,62076141,111,Drama,754,7.3,2015,10119995.5472019,57110024.5915891
3.227329,11000000,62076141,111,Romance,754,7.3,2015,10119995.5472019,57110024.5915891
3.202719,28000000,201634991,147,Drama,918,7.7,2015,25759988.6656049,185504110.098191
3.202719,28000000,201634991,147,Music,918,7.7,2015,25759988.6656049,185504110.098191
3.080505,90000000,140396650,106,Fantasy,879,5.6,2015,82799963.568016,129164861.167461
3.080505,90000000,140396650,106,Action,879,5.6,2015,82799963.568016,129164861.167461
3.080505,90000000,140396650,106,Adventure,879,5.6,2015,82799963.568016,129164861.167461
3.079522,30000000,34441873,122,History,1035,6.9,2015,27599987.8560053,31686509.2179359
3.079522,30000000,34441873,122,Drama,1035,6.9,2015,27599987.8560053,31686509.2179359
3.053421,75000000,108145109,116,Comedy,1548,7.0,2015,68999969.6400133,99493456.5028791
3.053421,75000000,108145109,116,Action,1548,7.0,2015,68999969.6400133,99493456.5028791
3.053421,75000000,108145109,116,Adventure,1548,7.0,2015,68999969.6400133,99493456.5028791
3.025852,25000000,42629776,112,Fantasy,1221,7.3,2015,22999989.8800044,39219376.6634742
3.025852,25000000,42629776,112,Drama,1221,7.3,2015,22999989.8800044,39219376.6634742
3.025852,25000000,42629776,112,Romance,1221,7.3,2015,22999989.8800044,39219376.6634742
3.023253,10000000,14333790,97,Action,396,5.9,2015,9199995.95200178,13187080.9976843
3.023253,10000000,14333790,97,Adventure,396,5.9,2015,9199995.95200178,13187080.9976843
3.023253,10000000,14333790,97,Science Fiction,396,5.9,2015,9199995.95200178,13187080.9976843
2.976436,135000000,368871007,94,Fantasy,1060,6.9,2015,124199945.352024,339361177.121082
2.976436,135000000,368871007,94,Comedy,1060,6.9,2015,124199945.352024,339361177.121082
2.976436,135000000,368871007,94,Animation,1060,6.9,2015,124199945.352024,339361177.121082
2.976436,135000000,368871007,94,Science Fiction,1060,6.9,2015,124199945.352024,339361177.121082
2.976436,135000000,368871007,94,Family,1060,6.9,2015,124199945.352024,339361177.121082
2.968254,12000000,85512300,109,Drama,1252,6.2,2015,11039995.1424021,78671281.3846362
2.968254,12000000,85512300,109,Mystery,1252,6.2,2015,11039995.1424021,78671281.3846362
2.968254,12000000,85512300,109,Romance,1252,6.2,2015,11039995.1424021,78671281.3846362
2.885126,4000000,9064511,118,Thriller,638,6.6,2015,3679998.38080071,8339346.45068756
2.885126,4000000,9064511,118,Comedy,638,6.6,2015,3679998.38080071,8339346.45068756
2.885126,4000000,9064511,118,Drama,638,6.6,2015,3679998.38080071,8339346.45068756
2.885126,4000000,9064511,118,Romance,638,6.6,2015,3679998.38080071,8339346.45068756
2.885126,4000000,9064511,118,Science Fiction,638,6.6,2015,3679998.38080071,8339346.45068756
2.883233,11800000,40272135,118,Romance,562,7.1,2015,10855995.2233621,37050347.8978469
2.883233,11800000,40272135,118,Drama,562,7.1,2015,10855995.2233621,37050347.8978469
2.814802,35000000,194564672,121,Comedy,1255,7.1,2015,32199985.8320062,178999419.480255
2.798017,55000000,203427584,121,Adventure,1172,6.7,2015,50599977.7360098,187153294.93255
2.798017,55000000,203427584,121,Drama,1172,6.7,2015,50599977.7360098,187153294.93255
2.793297,60000000,101134059,124,Comedy,1001,6.4,2015,55199975.7120106,93043293.3409509
2.793297,60000000,101134059,124,Drama,1001,6.4,2015,55199975.7120106,93043293.3409509
2.614499,105000000,133718711,114,Action,505,5.5,2015,96599957.4960187,123021159.990689
2.614499,105000000,133718711,114,Crime,505,5.5,2015,96599957.4960187,123021159.990689
2.614499,105000000,133718711,114,Thriller,505,5.5,2015,96599957.4960187,123021159.990689
2.584264,20000000,36606743,100,Drama,631,6.3,2015,18399991.9040035,33678188.7415969
2.578919,26000000,30523226,116,Science Fiction,719,6.2,2015,23919989.4752046,28081355.5642035
2.578919,26000000,30523226,116,Mystery,719,6.2,2015,23919989.4752046,28081355.5642035
2.578919,26000000,30523226,116,Thriller,719,6.2,2015,23919989.4752046,28081355.5642035
2.575711,60000000,30418560,106,Comedy,696,5.3,2015,55199975.7120106,27985062.8865723
2.575711,60000000,30418560,106,Adventure,696,5.3,2015,55199975.7120106,27985062.8865723
2.557859,15000000,64191523,120,Drama,867,7.3,2015,13799993.9280026,59056175.1752829
2.550747,70000000,17752940,133,Mystery,584,5.0,2015,64399971.6640124,16332697.613613
2.550747,70000000,17752940,133,Crime,584,5.0,2015,64399971.6640124,16332697.613613
2.550747,70000000,17752940,133,Action,584,5.0,2015,64399971.6640124,16332697.613613
2.550747,70000000,17752940,133,Thriller,584,5.0,2015,64399971.6640124,16332697.613613
2.550747,70000000,17752940,133,Drama,584,5.0,2015,64399971.6640124,16332697.613613
2.487849,30000000,84025816,121,Action,1479,7.1,2015,27599987.8560053,77303716.7063646
2.487849,30000000,84025816,121,Crime,1479,7.1,2015,27599987.8560053,77303716.7063646
2.487849,30000000,84025816,121,Drama,1479,7.1,2015,27599987.8560053,77303716.7063646
2.487849,30000000,84025816,121,Mystery,1479,7.1,2015,27599987.8560053,77303716.7063646
2.487849,30000000,84025816,121,Thriller,1479,7.1,2015,27599987.8560053,77303716.7063646
2.487042,120000001,167977596,100,Action,1565,4.4,2015,110399952.34402,154539320.322699
2.487042,120000001,167977596,100,Adventure,1565,4.4,2015,110399952.34402,154539320.322699
2.487042,120000001,167977596,100,Science Fiction,1565,4.4,2015,110399952.34402,154539320.322699
2.46449,3500000,40423945,92,Mystery,700,5.8,2015,3219998.58320062,37190013.0363942
2.46449,3500000,40423945,92,Horror,700,5.8,2015,3219998.58320062,37190013.0363942
2.404473,65000000,235666219,120,Action,1840,6.9,2015,59799973.6880115,216812826.082356
2.404473,65000000,235666219,120,Comedy,1840,6.9,2015,59799973.6880115,216812826.082356
2.404473,65000000,235666219,120,Crime,1840,6.9,2015,59799973.6880115,216812826.082356
2.395366,50100000,153962963,105,Romance,1831,6.7,2015,46091979.7195289,141645863.63582
2.395366,50100000,153962963,105,Comedy,1831,6.7,2015,46091979.7195289,141645863.63582
2.395366,50100000,153962963,105,Crime,1831,6.7,2015,46091979.7195289,141645863.63582
2.395366,50100000,153962963,105,Drama,1831,6.7,2015,46091979.7195289,141645863.63582
2.354654,35000000,82347656,96,Action,820,5.5,2015,32199985.8320062,75759810.1856835
2.354654,35000000,82347656,96,Crime,820,5.5,2015,32199985.8320062,75759810.1856835
2.354654,35000000,82347656,96,Thriller,820,5.5,2015,32199985.8320062,75759810.1856835
2.345821,100000000,93820758,122,Thriller,805,6.4,2015,91999959.5200178,86315059.3813738
2.345821,100000000,93820758,122,Drama,805,6.4,2015,91999959.5200178,86315059.3813738
2.345821,100000000,93820758,122,Adventure,805,6.4,2015,91999959.5200178,86315059.3813738
2.345821,100000000,93820758,122,Action,805,6.4,2015,91999959.5200178,86315059.3813738
2.345821,100000000,93820758,122,History,805,6.4,2015,91999959.5200178,86315059.3813738
2.331567,35000000,137935567,133,Drama,1171,7.3,2015,32199985.8320062,126900665.803707
2.31767,35000000,140795793,125,Comedy,849,6.1,2015,32199985.8320062,129532072.565888
2.29573,13000000,32848185,102,Drama,265,7.2,2015,11959994.7376023,30220316.9030605
2.29573,13000000,32848185,102,Thriller,265,7.2,2015,11959994.7376023,30220316.9030605
2.29573,13000000,32848185,102,War,265,7.2,2015,11959994.7376023,30220316.9030605
2.28135,25000000,42972994,131,Crime,619,6.7,2015,22999989.8800044,39535137.0845396
2.28135,25000000,42972994,131,Thriller,619,6.7,2015,22999989.8800044,39535137.0845396
2.234573,150000000,128388320,111,Adventure,586,5.9,2015,137999939.280026,118117202.42843
2.234573,150000000,128388320,111,Family,586,5.9,2015,137999939.280026,118117202.42843
2.234573,150000000,128388320,111,Fantasy,586,5.9,2015,137999939.280026,118117202.42843
2.140199,99000000,246233113,88,Adventure,414,6.4,2015,91079959.9248176,226534364.284879
2.140199,99000000,246233113,88,Animation,414,6.4,2015,91079959.9248176,226534364.284879
2.140199,99000000,246233113,88,Comedy,414,6.4,2015,91079959.9248176,226534364.284879
2.140199,99000000,246233113,88,Family,414,6.4,2015,91079959.9248176,226534364.284879
2.121884,35000000,48623572,123,Drama,500,6.9,2015,32199985.8320062,44733666.5571867
2.096273,25000000,52395996,100,Comedy,363,6.1,2015,22999989.8800044,48204295.1101101
2.080935,2500000,5214043,99,Drama,473,4.8,2015,2299998.98800044,4796917.44935632
2.080935,2500000,5214043,99,Horror,473,4.8,2015,2299998.98800044,4796917.44935632
2.080935,2500000,5214043,99,Thriller,473,4.8,2015,2299998.98800044,4796917.44935632
2.070708,34000000,63013281,128,Romance,711,7.3,2015,31279986.236806,57972193.012235
2.070708,34000000,63013281,128,Drama,711,7.3,2015,31279986.236806,57972193.012235
2.060162,80000000,466183544,89,Animation,919,6.8,2015,73599967.6160142,428888671.768984
2.060162,80000000,466183544,89,Comedy,919,6.8,2015,73599967.6160142,428888671.768984
2.060162,80000000,466183544,89,Family,919,6.8,2015,73599967.6160142,428888671.768984
2.055572,17000000,24000000,107,Family,111,5.3,2015,15639993.118403,22079990.2848042
2.055572,17000000,24000000,107,Comedy,111,5.3,2015,15639993.118403,22079990.2848042
2.049886,35000000,61181942,123,Adventure,706,6.8,2015,32199985.8320062,56287361.8735607
2.049886,35000000,61181942,123,Drama,706,6.8,2015,32199985.8320062,56287361.8735607
2.049886,35000000,61181942,123,Thriller,706,6.8,2015,32199985.8320062,56287361.8735607
2.026651,11000000,1863315,94,Action,326,5.9,2015,10119995.5472019,1714249.04573042
2.026651,11000000,1863315,94,Crime,326,5.9,2015,10119995.5472019,1714249.04573042
2.026651,11000000,1863315,94,Drama,326,5.9,2015,10119995.5472019,1714249.04573042
2.000338,31000000,104384188,99,Adventure,846,6.1,2015,28519987.4512055,96033410.7052992
2.000338,31000000,104384188,99,Comedy,846,6.1,2015,28519987.4512055,96033410.7052992
1.984529,35000000,95437994,93,Horror,589,5.0,2015,32199985.8320062,87802915.846717
1.984529,35000000,95437994,93,Thriller,589,5.0,2015,32199985.8320062,87802915.846717
1.980039,4000000,187112,95,Horror,384,5.1,2015,3679998.38080071,172142.964257095
1.95632,50000000,3324330,137,Crime,341,5.9,2015,45999979.7600089,3058382.2543118
1.95632,50000000,3324330,137,Thriller,341,5.9,2015,45999979.7600089,3058382.2543118
1.926739,5000000,58978653,108,Thriller,631,6.6,2015,4599997.97600089,54260336.8854517
1.926739,5000000,58978653,108,Mystery,631,6.6,2015,4599997.97600089,54260336.8854517
1.904898,50000000,240360392,96,Comedy,568,5.7,2015,45999979.7600089,221131463.342156
1.865007,64000000,97571250,92,Adventure,423,7.5,2015,58879974.0928114,89765510.5031753
1.865007,64000000,97571250,92,Animation,423,7.5,2015,58879974.0928114,89765510.5031753
1.865007,64000000,97571250,92,Fantasy,423,7.5,2015,58879974.0928114,89765510.5031753
1.82313,11930000,18340000,118,Drama,197,6.9,2015,10975595.1707381,16872792.5759712
1.758618,8500000,43528634,100,Romance,753,6.8,2015,7819996.55920151,40046325.6596167
1.758618,8500000,43528634,100,Comedy,753,6.8,2015,7819996.55920151,40046325.6596167
1.742286,10000000,52882018,97,Horror,331,5.5,2015,9199995.95200178,48651435.1533685
1.73518,30000000,107597242,94,Action,422,5.3,2015,27599987.8560053,98989419.0846556
1.73518,30000000,107597242,94,Adventure,422,5.3,2015,27599987.8560053,98989419.0846556
1.73518,30000000,107597242,94,Comedy,422,5.3,2015,27599987.8560053,98989419.0846556
1.73518,30000000,107597242,94,Family,422,5.3,2015,27599987.8560053,98989419.0846556
1.65107799999999,4000000,50163103,91,Thriller,810,3.9,2015,3679998.38080071,46150034.4539848
1.532997,30000000,49263404,104,Comedy,364,6.2,2015,27599987.8560053,45322311.7381828
1.510096,23000000,79799880,101,Comedy,446,6.5,2015,21159990.689604,73415857.2970227
1.499614,15000000,14860766,93,Comedy,288,6.2,2015,13799993.9280026,13671898.7043645
1.499614,15000000,14860766,93,Horror,288,6.2,2015,13799993.9280026,13671898.7043645
1.495112,5000000,98450062,94,Horror,729,5.9,2015,4599997.97600089,90574017.1874324
1.495112,5000000,98450062,94,Thriller,729,5.9,2015,4599997.97600089,90574017.1874324
1.48324599999999,53000000,99775678,122,Crime,848,6.3,2015,48759978.5456094,91793583.3708233
1.48324599999999,53000000,99775678,122,Drama,848,6.3,2015,48759978.5456094,91793583.3708233
1.449072,8900000,50136,93,Crime,233,5.4,2015,8187996.39728158,46125.0997049561
1.449072,8900000,50136,93,Action,233,5.4,2015,8187996.39728158,46125.0997049561
1.449072,8900000,50136,93,Thriller,233,5.4,2015,8187996.39728158,46125.0997049561
1.448002,15000000,61548707,98,Horror,342,5.9,2015,13799993.9280026,56624785.5250943
1.448002,15000000,61548707,98,Comedy,342,5.9,2015,13799993.9280026,56624785.5250943
1.448002,15000000,61548707,98,Fantasy,342,5.9,2015,13799993.9280026,56624785.5250943
1.443406,20000000,208588,113,Drama,322,5.7,2015,18399991.9040035,191900.875563614
1.443406,20000000,208588,113,Mystery,322,5.7,2015,18399991.9040035,191900.875563614
1.443406,20000000,208588,113,Thriller,322,5.7,2015,18399991.9040035,191900.875563614
1.41239,5000000,54418872,103,Action,519,6.7,2015,4599997.97600089,50065340.2112503
1.41239,5000000,54418872,103,Thriller,519,6.7,2015,4599997.97600089,50065340.2112503
1.40805,700000,17986781,103,Crime,448,7.3,2015,643999.716640124,16547831.2389542
1.40805,700000,17986781,103,Drama,448,7.3,2015,643999.716640124,16547831.2389542
1.40805,700000,17986781,103,Comedy,448,7.3,2015,643999.716640124,16547831.2389542
1.388251,28000000,28208085,96,Comedy,695,5.9,2015,25759988.6656049,25951426.7813722
1.388251,28000000,28208085,96,Action,695,5.9,2015,25759988.6656049,25951426.7813722
1.388032,11000000,61619773,120,Drama,277,7.3,2015,10119995.5472019,56690166.2163268
1.376605,30000000,105011053,118,Comedy,399,5.9,2015,27599987.8560053,96610126.2515444
1.360926,12000000,32248241,106,Science Fiction,637,6.3,2015,11039995.1424021,29668368.6659177
1.360926,12000000,32248241,106,Thriller,637,6.3,2015,11039995.1424021,29668368.6659177
1.355822,25000000,72629670,96,Thriller,407,5.3,2015,22999989.8800044,66819266.9995225
1.355822,25000000,72629670,96,Action,407,5.3,2015,22999989.8800044,66819266.9995225
1.355822,25000000,72629670,96,Crime,407,5.3,2015,22999989.8800044,66819266.9995225
1.345982,55000000,74679822,119,Mystery,819,6.4,2015,50599977.7360098,68705406.0096213
1.345982,55000000,74679822,119,Thriller,819,6.4,2015,50599977.7360098,68705406.0096213
1.345982,55000000,74679822,119,Fantasy,819,6.4,2015,50599977.7360098,68705406.0096213
1.345982,55000000,74679822,119,Horror,819,6.4,2015,50599977.7360098,68705406.0096213
1.345982,55000000,74679822,119,Drama,819,6.4,2015,50599977.7360098,68705406.0096213
1.338481,14800000,122413057,115,Comedy,501,6.3,2015,13615994.0089626,112619962.887216
1.338481,14800000,122413057,115,Drama,501,6.3,2015,13615994.0089626,112619962.887216
1.338481,14800000,122413057,115,Music,501,6.3,2015,13615994.0089626,112619962.887216
1.338322,10000000,78099553,88,Horror,267,5.0,2015,9199995.95200178,71851557.1453148
1.338322,10000000,78099553,88,Thriller,267,5.0,2015,9199995.95200178,71851557.1453148
1.316239,15000000,8235661,124,Drama,273,7.2,2015,13799993.9280026,7576804.78620589
1.315266,19500000,32189727,111,Crime,202,6.2,2015,17939992.1064034,29614535.8096042
1.315266,19500000,32189727,111,Drama,202,6.2,2015,17939992.1064034,29614535.8096042
1.315266,19500000,32189727,111,Mystery,202,6.2,2015,17939992.1064034,29614535.8096042
1.291013,74000000,311594032,93,Family,533,5.7,2015,68079970.0448131,286666383.306791
1.291013,74000000,311594032,93,Animation,533,5.7,2015,68079970.0448131,286666383.306791
1.278928,20000000,43967255,111,Adventure,214,7.0,2015,18399991.9040035,40449856.802063
1.278928,20000000,43967255,111,Drama,214,7.0,2015,18399991.9040035,40449856.802063
1.278928,20000000,43967255,111,Family,214,7.0,2015,18399991.9040035,40449856.802063
1.225325,40000000,10664749,115,Action,283,5.6,2015,36799983.8080071,9811564.7629115
1.225325,40000000,10664749,115,Drama,283,5.6,2015,36799983.8080071,9811564.7629115
1.225325,40000000,10664749,115,Crime,283,5.6,2015,36799983.8080071,9811564.7629115
1.191138,1000000,62882090,82,Horror,643,5.6,2015,919999.595200178,57851497.3453411
1.191138,1000000,62882090,82,Thriller,643,5.6,2015,919999.595200178,57851497.3453411
1.178831,35000000,51680201,87,Action,472,5.5,2015,32199985.8320062,47545763.9998638
1.178831,35000000,51680201,87,Crime,472,5.5,2015,32199985.8320062,47545763.9998638
1.178831,35000000,51680201,87,Comedy,472,5.5,2015,32199985.8320062,47545763.9998638
1.164724,10000000,104303851,97,Drama,610,6.3,2015,9199995.95200178,95959500.6978197
1.164724,10000000,104303851,97,Horror,610,6.3,2015,9199995.95200178,95959500.6978197
1.164724,10000000,104303851,97,Thriller,610,6.3,2015,9199995.95200178,95959500.6978197
1.142518,6000000,41387687,104,Comedy,135,5.9,2015,5519997.57120106,38076655.2862716
1.142518,6000000,41387687,104,Drama,135,5.9,2015,5519997.57120106,38076655.2862716
1.138395,40000000,34227298,109,Drama,408,5.5,2015,36799983.8080071,31489100.3047958
1.138395,40000000,34227298,109,Science Fiction,408,5.5,2015,36799983.8080071,31489100.3047958
